gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000040125	0	1	0	0	0	1	0	0
ENSMUSG00000040127	0	0	0	1	0	0	1	0
ENSMUSG00000040128	1262	1717	1154	1419	2428	1105	1479	1576
ENSMUSG00000040132	0	0	0	0	0	0	0	0
ENSMUSG00000040133	43	37	48	41	4	6	2	10
ENSMUSG00000040134	0	0	0	0	0	0	0	1
ENSMUSG00000040136	2013	1788	1851	2610	2227	1133	1309	1976
ENSMUSG00000040138	13	7	13	26	1	8	1	1
ENSMUSG00000040139	151	147	141	207	159	102	128	179
ENSMUSG00000040140	7	5	9	26	2	4	0	3
ENSMUSG00000040146	112	92	82	80	360	199	249	356
ENSMUSG00000040147	342	371	314	390	1536	822	2769	3396
ENSMUSG00000040148	0	0	0	0	0	0	0	0
ENSMUSG00000040151	1176	1253	1102	1317	791	452	413	530
ENSMUSG00000040152	2230	2621	1912	1730	693	669	241	245
ENSMUSG00000040154	0	0	0	0	0	0	0	0
ENSMUSG00000040158	231	260	201	289	171	72	92	130
ENSMUSG00000040163	0	0	0	0	0	0	0	0
ENSMUSG00000040164	8	13	10	11	6	2	3	0
ENSMUSG00000040165	0	0	0	1	1	0	1	1
ENSMUSG00000040167	617	821	671	708	899	588	631	881
ENSMUSG00000040170	567	350	362	569	2054	806	3381	3064
ENSMUSG00000040174	678	813	741	926	753	366	533	778
ENSMUSG00000040177	241	281	269	264	299	162	212	333
ENSMUSG00000040181	587	677	461	619	2496	1221	1757	1696
ENSMUSG00000040183	258	328	242	315	240	121	118	126
ENSMUSG00000040187	51	40	31	50	5	5	20	22
ENSMUSG00000040188	923	1078	919	1344	1056	674	698	1010
ENSMUSG00000040189	107	109	75	100	77	54	68	98
ENSMUSG00000040195	502	508	471	629	311	184	179	224
ENSMUSG00000040197	0	0	0	0	0	1	3	1
ENSMUSG00000040204	585	683	631	587	16	18	6	7
ENSMUSG00000040205	24	16	30	20	72	17	38	52
ENSMUSG00000040209	2968	3353	2697	3946	1988	927	910	1306
ENSMUSG00000040212	427	349	290	489	411	260	213	339
ENSMUSG00000040213	150	172	209	194	1343	446	781	1072
ENSMUSG00000040217	1	0	0	0	0	1	1	1
ENSMUSG00000040219	364	434	312	517	932	398	752	902
ENSMUSG00000040220	208	233	207	270	146	82	85	122
ENSMUSG00000040225	6527	6642	5776	8901	5183	2785	2261	3187
ENSMUSG00000040229	35	29	32	39	66	87	31	87
ENSMUSG00000040231	2	8	4	10	2	1	1	0
ENSMUSG00000040234	1201	1457	1219	1548	1598	921	845	1170
ENSMUSG00000040236	653	755	668	810	1107	586	770	1046
ENSMUSG00000040242	2002	2520	2218	2305	3374	2099	2246	3103
ENSMUSG00000040247	0	0	0	0	0	0	1	0
ENSMUSG00000040249	4329	4500	3258	6733	9374	4730	5187	5887
ENSMUSG00000040250	1120	1318	1072	1366	1238	674	690	1113
ENSMUSG00000040253	358	367	309	406	1092	687	601	679
ENSMUSG00000040254	957	1028	917	1176	562	452	257	243
ENSMUSG00000040258	16	16	7	11	12	5	10	8
ENSMUSG00000040260	990	826	787	1375	581	326	253	344
ENSMUSG00000040263	395	405	343	460	349	181	270	338
ENSMUSG00000040264	35	34	33	47	379	256	337	287
ENSMUSG00000040265	107	147	67	131	303	122	154	171
ENSMUSG00000040268	2717	3262	2953	3212	3245	2008	1763	2754
ENSMUSG00000040269	563	711	652	634	841	520	820	1085
ENSMUSG00000040270	613	817	593	922	468	280	227	288
ENSMUSG00000040272	405	404	394	598	258	145	162	226
ENSMUSG00000040274	421	460	351	609	301	171	107	230
ENSMUSG00000040276	12	4	1	2	99	25	51	100
ENSMUSG00000040280	286	304	218	411	553	248	328	398
ENSMUSG00000040282	197	284	263	274	107	78	103	159
ENSMUSG00000040283	1853	2629	1876	1873	1042	556	818	1143
ENSMUSG00000040284	0	0	0	0	0	0	0	0
ENSMUSG00000040287	55	70	60	63	39	33	29	58
ENSMUSG00000040289	380	387	259	406	580	288	304	397
ENSMUSG00000040296	475	496	402	505	753	474	417	477
ENSMUSG00000040297	1410	1669	1562	1572	1173	786	689	997
ENSMUSG00000040298	5	4	7	6	6	5	2	8
ENSMUSG00000040302	209	262	230	232	206	128	118	186
ENSMUSG00000040310	14	12	7	15	112	39	39	24
ENSMUSG00000040312	363	344	372	424	132	70	70	94
ENSMUSG00000040314	3	4	1	4	1	0	0	0
ENSMUSG00000040321	723	769	767	726	1153	770	708	1194
ENSMUSG00000040322	1029	1020	1015	1197	416	292	221	306
ENSMUSG00000040325	1288	1532	1317	1556	1497	840	837	1308
ENSMUSG00000040327	628	726	589	1000	1548	663	1058	1263
ENSMUSG00000040328	1	3	1	0	0	0	0	0
ENSMUSG00000040329	1	3	4	1	18	6	10	19
ENSMUSG00000040331	1545	1944	1655	1742	1182	683	863	1206
ENSMUSG00000040339	1281	1615	1343	1571	1174	682	769	816
ENSMUSG00000040340	3	1	3	2	3	1	1	1
ENSMUSG00000040345	35	35	15	38	165	93	178	185
ENSMUSG00000040350	186	233	164	164	1278	724	477	1290
ENSMUSG00000040351	913	1077	886	1124	1162	689	633	1007
ENSMUSG00000040354	1255	1297	1198	1506	1444	751	1048	1539
ENSMUSG00000040356	1175	1359	1113	1594	1397	648	1053	1321
ENSMUSG00000040359	1364	1716	1485	1695	1652	1090	1004	1423
ENSMUSG00000040363	1887	2415	1812	2496	1625	862	709	1229
ENSMUSG00000040364	9	9	11	8	9	10	5	12
ENSMUSG00000040365	1159	1357	994	1435	994	623	727	1026
ENSMUSG00000040367	4	4	5	3	6	2	4	4
ENSMUSG00000040370	1422	1774	1679	1739	4026	2249	2865	4505
ENSMUSG00000040372	26	32	25	46	31	7	9	29
ENSMUSG00000040373	1	1	2	0	6	3	2	6
ENSMUSG00000040374	1012	1371	1201	1179	1283	730	910	1328
ENSMUSG00000040380	58	51	44	45	20	4	6	16
ENSMUSG00000040383	1137	1411	1174	1499	1199	602	655	1021
ENSMUSG00000040385	4	6	3	1	4	2	2	6
ENSMUSG00000040387	22	14	24	22	47	15	30	91
ENSMUSG00000040389	418	521	446	519	499	281	325	367
ENSMUSG00000040390	456	445	329	439	601	360	480	641
ENSMUSG00000040396	1190	1404	1153	1307	1149	672	617	1080
ENSMUSG00000040405	2	0	0	0	0	2	0	1
ENSMUSG00000040407	2746	3146	2674	3768	4574	2308	2765	3529
ENSMUSG00000040410	474	542	422	619	486	289	313	489
ENSMUSG00000040412	93	22	10	22	3	5	3	1
ENSMUSG00000040413	0	0	0	1	3	1	0	4
ENSMUSG00000040414	411	446	393	636	562	281	522	776
ENSMUSG00000040415	1850	1937	1538	2112	2091	1036	1386	1863
ENSMUSG00000040420	13	10	9	18	0	2	0	0
ENSMUSG00000040423	2104	2349	2026	2444	3605	1964	1614	2194
ENSMUSG00000040424	43	44	46	59	3	6	2	9
ENSMUSG00000040428	111	81	72	109	184	100	83	92
ENSMUSG00000040429	51	34	43	40	43	31	40	33
ENSMUSG00000040430	3211	4195	3358	3984	3919	2336	3258	4556
ENSMUSG00000040432	1	2	1	1	8	3	5	8
ENSMUSG00000040433	1248	1546	1306	1793	2211	1365	1326	1914
ENSMUSG00000040434	26	13	14	19	6	3	8	11
ENSMUSG00000040435	527	652	482	634	1012	410	569	754
ENSMUSG00000040441	749	979	835	882	1619	578	1231	1082
ENSMUSG00000040446	954	978	873	1103	1489	771	608	1041
ENSMUSG00000040447	573	595	502	704	614	316	395	468
ENSMUSG00000040451	1412	2018	1481	2134	2549	1070	1530	1954
ENSMUSG00000040452	29	11	8	10	33	22	9	0
ENSMUSG00000040455	855	1145	932	1041	820	564	472	760
ENSMUSG00000040456	0	0	0	0	0	0	0	0
ENSMUSG00000040459	2685	3146	2672	2607	1881	1418	1407	1914
ENSMUSG00000040462	1383	1440	1195	1888	1693	839	1154	1356
ENSMUSG00000040463	2064	2500	1979	2891	2482	1374	1677	2403
ENSMUSG00000040464	372	400	356	373	435	330	300	453
ENSMUSG00000040466	286	319	267	406	292	140	220	528
ENSMUSG00000040467	0	0	0	0	1	0	0	0
ENSMUSG00000040471	1	2	1	5	1	0	0	2
ENSMUSG00000040472	414	462	400	440	515	293	439	659
ENSMUSG00000040473	125	86	62	84	29	24	25	20
ENSMUSG00000040478	0	0	0	0	0	0	0	0
ENSMUSG00000040479	3219	3635	2992	4311	3307	1655	2415	2753
ENSMUSG00000040481	3286	3542	2894	4355	3570	1889	1687	2230
ENSMUSG00000040482	283	287	245	368	257	121	186	232
ENSMUSG00000040483	153	122	136	166	382	208	254	265
ENSMUSG00000040485	1	5	8	7	26	4	17	5
ENSMUSG00000040488	8389	9179	7441	11129	16265	8489	8653	8154
ENSMUSG00000040489	13	16	13	14	12	3	10	12
ENSMUSG00000040490	14	6	11	10	10	2	4	9
ENSMUSG00000040495	0	1	0	1	0	0	2	0
ENSMUSG00000040498	76	36	31	97	93	53	17	17
ENSMUSG00000040502	67	57	50	55	93	63	86	146
ENSMUSG00000040505	2	0	1	3	0	0	0	1
ENSMUSG00000040506	1129	1308	1120	1709	1330	675	875	1116
ENSMUSG00000040511	574	725	419	660	797	488	549	737
ENSMUSG00000040514	0	0	0	0	0	0	0	0
ENSMUSG00000040520	994	1119	1017	1157	1237	874	700	1169
ENSMUSG00000040521	608	735	688	687	888	528	667	941
ENSMUSG00000040522	21	25	16	31	67	48	36	45
ENSMUSG00000040524	2467	2822	2204	3293	1957	931	935	1424
ENSMUSG00000040525	5	1	5	2	25	8	8	31
ENSMUSG00000040528	12	16	14	23	24	24	10	23
ENSMUSG00000040532	760	976	844	1010	1277	633	993	1161
ENSMUSG00000040533	1	1	1	0	1	1	0	0
ENSMUSG00000040536	34	31	19	23	103	101	14	13
ENSMUSG00000040537	771	582	594	965	840	371	214	235
ENSMUSG00000040540	71	79	90	116	90	10	53	70
ENSMUSG00000040541	0	0	0	0	0	0	0	0
ENSMUSG00000040543	228	178	146	195	289	142	173	322
ENSMUSG00000040548	1531	1828	1610	1997	2506	994	1527	2062
ENSMUSG00000040549	4199	4316	4353	4892	3284	1732	1842	2866
ENSMUSG00000040550	1356	1730	1522	1523	3313	1957	2017	2779
ENSMUSG00000040552	133	144	90	183	204	171	117	192
ENSMUSG00000040554	2	10	7	4	2	1	0	1
ENSMUSG00000040557	135	150	101	189	77	33	36	61
ENSMUSG00000040560	785	959	739	1078	1297	682	843	1031
ENSMUSG00000040562	366	368	334	480	2824	973	1727	2001
ENSMUSG00000040563	117	112	100	149	245	119	161	311
ENSMUSG00000040564	16	14	19	20	18	18	15	5
ENSMUSG00000040565	1233	1439	1215	1378	1450	769	682	922
ENSMUSG00000040569	50	98	89	70	48	39	10	18
ENSMUSG00000040570	76	88	64	79	18	5	10	25
ENSMUSG00000040576	0	0	0	0	0	0	0	0
ENSMUSG00000040583	0	0	0	0	0	0	0	0
ENSMUSG00000040584	231	336	249	232	1428	611	741	590
ENSMUSG00000040586	414	587	527	595	395	249	294	414
ENSMUSG00000040591	291	333	269	390	275	165	235	310
ENSMUSG00000040592	16	15	13	15	32	37	17	60
ENSMUSG00000040594	127	145	121	151	28	20	17	23
ENSMUSG00000040596	1736	1951	1493	2131	1214	626	563	919
ENSMUSG00000040599	551	713	605	645	454	292	270	370
ENSMUSG00000040600	0	0	0	0	1	0	0	1
ENSMUSG00000040601	1	1	0	3	1	0	0	1
ENSMUSG00000040605	601	512	487	722	435	231	224	317
ENSMUSG00000040606	599	378	506	801	270	194	204	252
ENSMUSG00000040610	1	0	0	0	0	0	0	0
ENSMUSG00000040612	567	225	325	633	312	149	112	234
ENSMUSG00000040613	119	111	92	156	111	132	89	133
ENSMUSG00000040614	0	0	0	0	0	0	0	0
ENSMUSG00000040616	951	932	867	1184	508	315	307	378
ENSMUSG00000040618	519	515	446	742	354	171	207	212
ENSMUSG00000040620	1196	1342	1164	1484	906	528	504	687
ENSMUSG00000040621	97	100	96	127	44	31	38	54
ENSMUSG00000040624	1256	1569	1248	1668	1045	618	411	655
ENSMUSG00000040627	1	1	0	0	0	1	0	0
ENSMUSG00000040629	0	1	2	4	0	0	3	0
ENSMUSG00000040631	1283	1328	1101	1563	886	590	420	682
ENSMUSG00000040632	0	0	0	1	0	0	0	0
ENSMUSG00000040640	65	72	75	90	30	10	30	48
ENSMUSG00000040648	6329	9654	7841	9573	10008	5128	9763	12833
ENSMUSG00000040649	26	36	16	31	1	8	1	0
ENSMUSG00000040650	0	0	0	0	1	0	1	0
ENSMUSG00000040651	1622	2037	1737	1732	1908	1282	901	1452
ENSMUSG00000040652	2504	2940	2569	3201	3945	2203	3028	4474
ENSMUSG00000040653	7982	10843	8873	9190	8744	5953	5929	9996
ENSMUSG00000040657	1	0	0	0	0	0	0	0
ENSMUSG00000040658	143	147	107	126	88	23	15	18
ENSMUSG00000040659	1072	1076	987	1486	873	446	475	577
ENSMUSG00000040660	0	0	0	0	0	0	0	0
ENSMUSG00000040661	1347	1571	1277	1715	1243	613	690	1022
ENSMUSG00000040663	0	0	0	0	0	0	0	0
ENSMUSG00000040666	5513	6160	6701	5909	7008	4669	4706	5861
ENSMUSG00000040667	2205	2918	2288	2908	2125	1208	1286	2002
ENSMUSG00000040669	796	916	861	1219	653	302	416	463
ENSMUSG00000040675	273	286	244	334	101	50	51	75
ENSMUSG00000040680	0	0	1	0	3	1	1	2
ENSMUSG00000040681	3126	3357	3135	3271	1604	1076	1031	1663
ENSMUSG00000040687	355	448	338	461	642	300	399	544
ENSMUSG00000040688	595	657	541	716	590	297	489	601
ENSMUSG00000040690	1645	1598	1265	1920	755	580	303	427
ENSMUSG00000040693	42	9	8	6	1	6	1	2
ENSMUSG00000040694	4266	5540	4509	5252	6809	3800	5690	7719
ENSMUSG00000040697	1047	1324	932	1322	1706	918	1345	1782
ENSMUSG00000040699	441	394	337	621	157	117	108	139
ENSMUSG00000040701	206	259	200	264	207	139	165	191
ENSMUSG00000040703	232	98	94	247	150	83	155	124
ENSMUSG00000040705	11	6	8	9	18	7	17	19
ENSMUSG00000040706	19	33	25	19	20	10	14	23
ENSMUSG00000040710	376	441	340	396	744	559	469	625
ENSMUSG00000040711	1683	1741	1435	2395	527	450	281	259
ENSMUSG00000040712	1217	1507	1097	1649	2139	1168	1492	1946
ENSMUSG00000040713	1045	1128	864	1231	4893	2293	3676	6733
ENSMUSG00000040714	28	16	14	29	14	5	5	3
ENSMUSG00000040715	0	0	0	0	0	0	0	0
ENSMUSG00000040717	457	372	284	703	588	369	290	362
ENSMUSG00000040720	1705	1932	1661	2115	1412	865	796	1117
ENSMUSG00000040721	413	483	329	547	369	204	199	383
ENSMUSG00000040722	500	346	421	465	380	266	383	446
ENSMUSG00000040723	3701	3706	2982	3756	4215	2367	3343	5260
ENSMUSG00000040724	7	8	1	3	30	21	18	36
ENSMUSG00000040725	3869	4608	3858	5442	3044	1759	2212	2655
ENSMUSG00000040726	2	0	0	2	0	1	0	2
ENSMUSG00000040728	32	6	4	2	4	5	0	2
ENSMUSG00000040729	161	325	204	292	156	82	63	143
ENSMUSG00000040731	6339	6791	5963	8331	5358	2673	3441	4920
ENSMUSG00000040732	900	1134	872	1230	1154	547	645	896
ENSMUSG00000040734	999	977	831	1146	970	487	797	1084
ENSMUSG00000040738	949	1134	963	1014	948	581	524	748
ENSMUSG00000040740	895	1390	723	1442	7376	2796	5002	6897
ENSMUSG00000040746	997	1176	887	1324	1688	846	1274	1657
ENSMUSG00000040747	85	75	52	103	232	185	185	213
ENSMUSG00000040749	174	204	166	210	80	62	71	114
ENSMUSG00000040751	72	91	64	93	88	45	46	70
ENSMUSG00000040752	432867	523321	445907	600755	1007499	518627	691634	1088601
ENSMUSG00000040759	5	3	3	3	10	4	3	7
ENSMUSG00000040760	1735	1933	1636	1886	2051	1300	934	1484
ENSMUSG00000040761	1988	2149	1677	2738	2787	1158	1412	1719
ENSMUSG00000040767	136	135	141	176	124	62	103	154
ENSMUSG00000040770	1	0	0	2	0	0	0	0
ENSMUSG00000040771	388	458	403	482	687	351	598	708
ENSMUSG00000040774	734	790	666	847	996	625	607	862
ENSMUSG00000040775	0	0	0	0	0	0	0	0
ENSMUSG00000040782	645	828	686	841	1059	663	820	1239
ENSMUSG00000040785	5831	6581	5677	7741	4659	2620	2450	3490
ENSMUSG00000040794	69	107	71	38	41	39	39	73
ENSMUSG00000040795	290	345	320	361	470	280	400	455
ENSMUSG00000040797	7	6	9	11	49	38	38	40
ENSMUSG00000040808	30	18	7	3	8	12	0	3
ENSMUSG00000040809	21	6	3	18	0	1	3	11
ENSMUSG00000040811	1282	1688	1167	2036	1207	579	746	1134
ENSMUSG00000040812	116	102	106	142	111	61	85	129
ENSMUSG00000040813	524	558	436	663	841	474	649	810
ENSMUSG00000040818	1349	1529	1382	1440	1165	699	635	901
ENSMUSG00000040820	370	377	354	470	354	166	244	366
ENSMUSG00000040822	370	425	320	508	331	195	208	293
ENSMUSG00000040824	631	768	663	948	639	335	490	638
ENSMUSG00000040828	6	10	7	6	1	5	2	2
ENSMUSG00000040829	77	46	61	60	148	49	87	103
ENSMUSG00000040836	154	202	146	221	90	56	41	44
ENSMUSG00000040838	0	0	0	1	0	0	0	0
ENSMUSG00000040840	1	2	3	0	1	0	1	0
ENSMUSG00000040841	629	627	565	708	571	333	346	570
ENSMUSG00000040842	2050	2428	2025	2676	2587	1410	1760	2449
ENSMUSG00000040843	1175	1507	1365	1333	1241	803	891	1274
ENSMUSG00000040848	1642	1581	1360	1932	1788	1011	1019	1291
ENSMUSG00000040850	4279	4810	4158	4875	18212	8650	13647	19988
ENSMUSG00000040852	578	662	475	797	618	327	326	329
ENSMUSG00000040855	55	60	38	50	200	119	101	189
ENSMUSG00000040856	1195	1231	815	1286	2	2	3	4
ENSMUSG00000040857	1023	1193	884	1236	744	375	455	642
ENSMUSG00000040859	980	1298	1005	1336	2093	1020	1480	1848
ENSMUSG00000040860	310	322	292	385	192	105	135	275
ENSMUSG00000040865	1685	2037	1549	2066	2327	1166	936	1337
ENSMUSG00000040866	0	1	0	0	0	1	0	0
ENSMUSG00000040867	49	39	47	66	12	16	6	11
ENSMUSG00000040875	113	101	103	129	76	51	44	41
ENSMUSG00000040877	94	147	103	144	169	93	121	147
ENSMUSG00000040883	152	177	143	228	746	352	624	922
ENSMUSG00000040888	247	332	249	300	307	207	234	263
ENSMUSG00000040891	0	0	0	0	0	0	1	0
ENSMUSG00000040896	103	103	115	178	1013	593	667	1044
ENSMUSG00000040899	3	1	0	1	1	1	4	2
ENSMUSG00000040901	0	0	0	0	0	0	0	0
ENSMUSG00000040904	1	3	2	3	2	0	0	2
ENSMUSG00000040907	25	20	11	16	33	31	37	40
ENSMUSG00000040913	436	507	415	526	604	304	529	709
ENSMUSG00000040918	300	266	234	340	410	283	218	349
ENSMUSG00000040919	0	1	0	0	1	0	0	0
ENSMUSG00000040928	1243	1459	1138	1508	923	521	546	842
ENSMUSG00000040929	453	550	505	582	292	165	115	178
ENSMUSG00000040935	0	0	3	0	0	0	0	0
ENSMUSG00000040936	54	44	42	46	9	8	5	17
ENSMUSG00000040938	12	0	2	3	3	5	11	23
ENSMUSG00000040940	2713	3138	2348	3436	2330	1369	1715	2348
ENSMUSG00000040943	1943	2430	1824	2651	1787	847	818	1163
ENSMUSG00000040945	1666	1613	1421	1958	907	510	481	725
ENSMUSG00000040950	7	8	3	9	422	307	205	309
ENSMUSG00000040952	1543	1723	1626	1910	1027	668	851	630
ENSMUSG00000040957	222	272	196	296	267	140	179	180
ENSMUSG00000040963	3	0	0	1	9	8	9	6
ENSMUSG00000040964	1094	1345	1083	1424	2750	1301	1776	2682
ENSMUSG00000040966	9	9	5	3	21	3	0	54
ENSMUSG00000040969	21	6	2	0	1	1	0	2
ENSMUSG00000040972	1	0	0	1	5	3	0	6
ENSMUSG00000040978	189	354	278	312	98	56	39	67
ENSMUSG00000040985	33	61	36	46	27	18	17	27
ENSMUSG00000040987	50	47	41	37	71	65	84	75
ENSMUSG00000040990	6062	8871	7301	7407	4154	2443	2860	4594
ENSMUSG00000040997	2165	2338	2132	3584	1986	957	1110	1664
ENSMUSG00000040998	954	358	294	581	192	335	52	74
ENSMUSG00000041000	172	156	132	196	80	50	48	68
ENSMUSG00000041009	0	0	0	0	0	0	0	0
ENSMUSG00000041012	122	147	88	154	297	139	302	307
ENSMUSG00000041014	1	0	0	0	0	0	0	0
ENSMUSG00000041020	29	36	29	32	49	22	27	36
ENSMUSG00000041025	613	701	531	725	298	178	122	255
ENSMUSG00000041028	9932	12823	11695	12059	23273	13635	18295	24707
ENSMUSG00000041035	236	249	238	274	259	165	200	275
ENSMUSG00000041037	1244	1515	1127	1654	1258	704	847	1352
ENSMUSG00000041040	683	733	660	879	1344	580	1217	1086
ENSMUSG00000041044	0	0	0	0	1	0	0	0
ENSMUSG00000041046	41	52	29	57	133	63	108	97
ENSMUSG00000041052	1	3	3	0	67	1	3	133
ENSMUSG00000041057	1166	1297	1087	1214	1192	672	662	993
ENSMUSG00000041058	1895	2389	2151	2261	4212	2492	3023	4297
ENSMUSG00000041062	1	1	1	3	2	0	1	1
ENSMUSG00000041064	380	291	344	396	6	10	3	3
ENSMUSG00000041068	0	0	0	0	0	0	0	0
ENSMUSG00000041073	76	97	75	77	98	85	56	87
ENSMUSG00000041075	449	318	318	430	445	332	286	373
ENSMUSG00000041078	7	5	5	8	2	0	1	0
ENSMUSG00000041079	212	236	239	245	214	130	132	192
ENSMUSG00000041084	1529	1520	1508	1629	1247	774	790	1182
ENSMUSG00000041096	633	716	523	772	670	379	565	703
ENSMUSG00000041112	585	643	554	714	582	313	354	356
ENSMUSG00000041115	1178	1369	1118	1662	2188	1042	1563	2125
ENSMUSG00000041117	1728	1866	1504	2272	452	267	261	310
ENSMUSG00000041119	264	251	228	350	165	102	82	87
ENSMUSG00000041120	411	299	224	472	571	328	351	365
ENSMUSG00000041124	1492	1897	1616	1661	2281	1431	1593	2567
ENSMUSG00000041126	1250	1289	1197	1666	1311	714	1281	1624
ENSMUSG00000041130	1293	1404	1051	1455	1149	549	742	1099
ENSMUSG00000041132	72	105	87	121	64	57	75	97
ENSMUSG00000041133	3306	3579	3240	3813	2534	1529	1437	2041
ENSMUSG00000041134	793	943	663	950	1792	968	982	1439
ENSMUSG00000041135	197	214	166	193	198	150	113	194
ENSMUSG00000041138	44	79	38	90	9	3	3	10
ENSMUSG00000041141	2	2	3	1	0	0	0	0
ENSMUSG00000041143	273	375	272	388	442	210	363	400
ENSMUSG00000041144	61	94	63	111	22	14	2	10
ENSMUSG00000041147	658	752	688	804	167	98	76	105
ENSMUSG00000041153	366	416	345	318	409	248	197	352
ENSMUSG00000041161	217	251	195	283	373	164	205	274
ENSMUSG00000041164	1955	2163	1707	2962	2112	954	1468	1864
ENSMUSG00000041165	1	4	0	4	0	1	1	4
ENSMUSG00000041168	2636	3321	2779	3547	5232	2784	4169	4820
ENSMUSG00000041180	330	471	390	370	182	116	45	124
ENSMUSG00000041187	677	823	555	805	1091	495	678	722
ENSMUSG00000041189	158	173	153	185	259	174	138	160
ENSMUSG00000041193	91	87	82	88	1743	674	1678	2294
ENSMUSG00000041199	179	155	156	218	142	82	102	112
ENSMUSG00000041202	0	0	0	1	46	34	113	85
ENSMUSG00000041203	1098	1220	980	1012	648	481	689	982
ENSMUSG00000041205	15	9	17	19	7	4	9	13
ENSMUSG00000041215	1634	1703	1497	2192	819	454	454	574
ENSMUSG00000041216	18	17	14	19	10	4	19	35
ENSMUSG00000041219	1757	1538	1797	1748	141	97	77	95
ENSMUSG00000041220	440	411	357	452	97	67	25	48
ENSMUSG00000041225	1134	1231	1100	1304	1758	1092	1045	1560
ENSMUSG00000041229	895	952	782	1022	1013	550	527	815
ENSMUSG00000041231	359	426	374	376	485	294	305	443
ENSMUSG00000041235	1325	1575	1164	1714	1212	619	714	914
ENSMUSG00000041236	1514	1978	1620	2017	2218	1292	1613	2288
ENSMUSG00000041237	3	4	1	1	1	3	3	3
ENSMUSG00000041238	532	665	570	649	274	181	132	250
ENSMUSG00000041241	1125	1279	1092	1429	1925	1003	1404	1895
ENSMUSG00000041245	62	52	50	79	20	12	10	12
ENSMUSG00000041247	161	4	5	2	6	0	5	6
ENSMUSG00000041248	19	19	14	4	9	22	0	24
ENSMUSG00000041255	0	0	0	0	0	0	0	0
ENSMUSG00000041258	1238	1346	1075	1580	1472	753	777	1040
ENSMUSG00000041261	372	348	433	480	1004	509	432	652
ENSMUSG00000041263	229	238	194	278	517	260	418	594
ENSMUSG00000041264	885	962	805	1035	1102	492	623	1011
ENSMUSG00000041268	1359	1478	1380	1989	2461	1277	1066	1373
ENSMUSG00000041272	191	282	186	243	49	36	63	112
ENSMUSG00000041278	747	846	722	870	1119	631	902	1084
ENSMUSG00000041287	1	1	0	1	0	0	0	0
ENSMUSG00000041293	9	5	4	3	0	5	1	2
ENSMUSG00000041297	1710	2084	1637	1927	1699	892	780	1328
ENSMUSG00000041298	575	625	514	873	912	465	496	712
ENSMUSG00000041301	37	8	14	33	14	12	34	35
ENSMUSG00000041303	823	965	821	923	839	471	452	685
ENSMUSG00000041308	735	797	665	999	768	419	313	453
ENSMUSG00000041309	0	1	0	0	0	2	1	0
ENSMUSG00000041313	1614	2428	1546	2115	3709	679	1210	2325
ENSMUSG00000041319	416	485	399	470	273	153	168	251
ENSMUSG00000041323	16	7	2	6	3	1	0	1
ENSMUSG00000041324	113	93	91	144	54	26	7	8
ENSMUSG00000041328	1242	1683	1417	1582	1788	942	935	1358
ENSMUSG00000041329	1290	1631	1179	1648	1153	668	663	889
ENSMUSG00000041333	0	0	0	0	0	0	0	0
ENSMUSG00000041341	1284	1455	1213	1703	1555	896	929	1245
ENSMUSG00000041343	70	79	55	78	39	23	10	31
ENSMUSG00000041346	212	228	206	256	215	116	123	216
ENSMUSG00000041347	0	0	0	0	1	1	0	0
ENSMUSG00000041351	308	272	137	199	420	191	329	679
ENSMUSG00000041353	166	174	147	145	150	56	43	84
ENSMUSG00000041354	1610	1871	1675	2006	1570	769	1183	1228
ENSMUSG00000041355	1806	1917	1715	2219	1232	721	701	1044
ENSMUSG00000041358	0	0	0	1	0	0	0	0
ENSMUSG00000041359	0	0	0	0	0	0	0	0
ENSMUSG00000041360	1071	1058	916	1227	842	579	459	660
ENSMUSG00000041361	3250	4209	3431	4451	6416	3395	5901	8600
ENSMUSG00000041362	102	89	61	104	175	109	104	123
ENSMUSG00000041372	20	12	16	17	11	11	1	5
ENSMUSG00000041375	791	857	652	915	808	405	574	725
ENSMUSG00000041377	0	0	0	0	0	0	0	1
ENSMUSG00000041378	1157	1614	1063	1243	430	248	236	326
ENSMUSG00000041380	0	0	0	0	1	3	1	1
ENSMUSG00000041390	763	863	719	842	720	488	397	581
ENSMUSG00000041396	93	87	103	104	99	63	60	99
ENSMUSG00000041399	1	0	0	0	1	1	0	0
ENSMUSG00000041406	269	312	284	278	43	27	19	34
ENSMUSG00000041408	2471	3053	2565	2802	2871	1655	1487	2229
ENSMUSG00000041415	2887	3166	2706	3632	2614	1307	1129	1805
ENSMUSG00000041417	2409	2451	2325	3031	7214	3569	6071	6207
ENSMUSG00000041420	211	241	194	285	151	106	89	163
ENSMUSG00000041423	16	23	23	24	21	10	10	11
ENSMUSG00000041426	1352	1974	1769	1656	3621	2083	2592	3351
ENSMUSG00000041429	61	76	53	79	74	30	65	54
ENSMUSG00000041431	968	849	1000	1011	7	24	4	10
ENSMUSG00000041438	665	772	620	832	828	418	493	751
ENSMUSG00000041439	649	665	558	748	1421	652	820	1039
ENSMUSG00000041440	231	249	220	315	339	182	127	225
ENSMUSG00000041444	1381	1886	1488	2038	1191	589	530	874
